ENGLISH,FRANÇAIS,DEUTSCH,ESPAÑOL,ITALIANO,SVENSKA
,,,,,
ENGLISH,,,,,
FRANÇAIS,,,,,
DEUTSCH,,,,,
ESPAÑOL,,,,,
ITALIANO,,,,,
SVENSKA,,,,,
,,,,,
PLAY,NOUVELLE PARTIE,SPIEL STARTEN,JUGAR,NUOVA PARTITA,STARTA
SAVED GAME,CHARGER PARTIE,GESICHERTE SPIELE,JUEGOS SALVADOS,CARICA UNA PARTITA,SPARAD SPELARE
OPTIONS,OPTIONS,OPTIONEN,OPCIONES,OPZIONI,ALTERNATIV
EXTRAS,EXTRAS,,,EXTRA,
QUIT,QUITTER,ZURÜCK IN DIE GEGENWART,SALIR,ESCI,AVSLUTA
SINGLE PLAYER,1 JOUEUR,1 SPIELER,1 JUGADOR,1 GIOCATORE,1 SPELARE
2 PLAYER,2 JOUEURS,2 SPIELER,2 JUGADORES,2 GIOCATORI,2 SPELARE
3 PLAYER,3 JOUEURS,3 SPIELER,3 JUGADORES,3 GIOCATORI,3 SPELARE
4 PLAYER,4 JOUEURS,4 SPIELER,4 JUGADORES,4 GIOCATORI,4 SPELARE
5 PLAYER,5 JOUEURS,5 SPIELER,5 JUGADORES,5 GIOCATORI,5 SPELARE
6 PLAYER,6 JOUEURS,6 SPIELER,6 JUGADORES,6 GIOCATORI,6 SPELARE
NET GAME,PARTIE RÉSEAU,NETZWERK-SPIEL,JUGAR EN RED,PARTITA IN RETE,NÄTVERKSSPEL
SETTINGS,RÉGLAGES,EINSTELLUNGEN,OPCIONES,IMPOSTAZIONI,INSTÄLLNINGAR
HELP,AIDE,HILFE,AYUDA,AIUTO,HJÄLP
CREDITS,CRÉDITS,CREDITS,CRÉDITOS,CREDITI,TACK TILL
PHYSICS SANDBOX,BAC À SABLE PHYSIQUE,PHYSIK EDITOR,,EDITOR PARAMETRI FISICI,
SCOREBOARD,MEILLEURS SCORES,,,PUNTEGGI MIGLIORI,
,,,,,
RACE,COURSE,RENNEN,CARRERA,CORSA,TÄVLA
KEEP-AWAY TAG,CHAT LÉPREUX,FANGEN,JUEGO SUCIO,SCHIVA IL CONTRASSEGNO,
STAMPEDE TAG,CHAT-CUN SA PEAU,WILDE FLUCHT,CORRER EN ESTAMPIDA,INSEGUI IL CONTRASSEGNO,
SURVIVAL,SURVIE,ÜBERLEBEN,SUPERVIVENCIA,SOPRAVVIVENZA,ÖVERLEVA
QUEST FOR FIRE,QUÊTE DU FEU,SUCHE NACH FEUER,BÚSQUEDA DEL FUEGO,CATTURA DEL FUOCO,JAKTEN PÅ ELDEN
,,,,,
PRACTICE,ENTRAINEMENT,TRAINING,PRACTICA,PRATICA,TRÄNING
TOURNAMENT,TOURNOI,TURNIER,COMPETICIÓN,TORNEI,TURNERING
,,,,,
STONE AGE,ÂGE DE PIERRE,STEINZEIT,EDAD DE PIEDRA,ETÀ DELLA PIETRA,STENÅLDERN
BRONZE AGE,ÂGE DE BRONZE,BRONZEZEIT,EDAD DE BRONCE,ETÀ DEL BRONZO,BRONSÅLDERN
IRON AGE,ÂGE DE FER,EISENZEIT,EDAD DE HIERRO,ETÀ DEL FERRO,JÄRNÅLDERN
CONQUERED,CONQUIS,GESCHAFFT,TERMINADA,CONQUISTATA,AVKLARAD
,,,,,
"GATHER ALL ARROWHEADS AND
FINISH IN 1ST PLACE TO WIN!","POUR GAGNER, TROUVE TOUTES
LES FLÈCHES ET FINIS PREMIER!",,,"RACCOGLI TUTTE LE PUNTE DI FRECCIA E
FINISCI AL 1° POSTO PER VINCERE!","SAMLA ALLA PILSPETSAR OCH
KOM ETTA FÖR ATT VINNA!"
"GATHER ALL ARROWHEADS AND
FINISH IN THE TOP 3 TO WIN!","POUR GAGNER, TROUVE TOUTES LES
FLÈCHES ET FINIS DANS LES 3 PREMIERS!",,,"RACCOGLI TUTTE LE PUNTE DI FRECCIA E
FINISCI NEI PRIMI 3 POSTI PER VINCERE",
OBJECTIVE COMPLETE,OBJECTIF ATTEINT,,,OBIETTIVO RAGGIUNTO,
OBJECTIVE INCOMPLETE,OBJECTIF INACHEVÉ,,,OBIETTIVO NON RAGGIUNTO,
,,,,,
HOST NET GAME,DÉMARRER UN SERVEUR,NETZSPIEL ANBIETEN,SERVIDOR DEL JUEGO,OSPITA UNA PARTITA IN RETE,VÄRD FOR NÄTVERKSSPEL
JOIN NET GAME,JOINDRE UN SERVEUR,AN NETZSPIEL TEILNEHMEN,JUGAR EN INTERNET,PARTECIPA A UNA PARTITA IN RETE,GÅ MED I NÄTVERKSSPEL
,,,,,
RESUME GAME,REPRENDRE,SPIEL FORTSETZEN,REANUDAR EL JUEGO,RIPRENDI,ÅTERUPPTA SPELET
RETIRE GAME,ABANDONNER,SPIEL ABBRECHEN,RETIRARSE,ABBANDONA,DRA DIG UR SPELET
QUIT APPLICATION,QUITTER,PROGRAMM BEENDEN,CERRAR EL JUEGO,ESCI DAL PROGRAMMA,AVSLUTA PROGRAMMET
,,,,,
TRY AGAIN,RÉESSAYER,NOCHMAL VERSUCHEN,INTENTARLO DE NUEVO,PROVA ANCORA,FÖRSÖK IGEN
RETIRE,ABANDONNER,AUFGEBEN,RETIRARSE,ABBANDONA,
,,,,,
PRESS ANY KEY,APPUIE SUR UNE TOUCHE,TASTE DRÜCKEN,TOCA CUALQUIER TECLA,PREMI UN TASTO,TRYCK PÅ VALFRI KNAPP
